variable,variable_group,data_type,required,source_stage,source_hint,definition,main_use,missing_rule
caseid,id,string,yes,01_elderly_case_base,DEMO or existing case index,FAERS case identifier; one row per case,merge key and unit of analysis,drop rows with missing caseid
primaryid_example,id,string,no,01_elderly_case_base,DEMO,One representative primaryid if available; not used as analysis unit,traceability,allow missing
year,time,int,yes,01_elderly_case_base,DEMO or existing case index,Report year,descriptive; time trend; adjustment,drop rows with missing year
quarter,time,int,no,01_elderly_case_base,DEMO or existing case index,Report quarter from 1 to 4,descriptive; time trend; adjustment,allow missing but report QC
regulatory_period,time,categorical,yes,01_elderly_case_base,year,2004-2012 pre-2013; 2013-2018 post-2013 pre-2019; 2019-2025 post-2019,time trend and sensitivity,derive from year
age_years,demographic,float,yes,01_elderly_case_base,DEMO or ml_feature_v2,Patient age in years when available,eligibility and adjustment,keep 65-120; missing excluded from main elderly cohort unless age group is usable
age_group_3,demographic,categorical,yes,01_elderly_case_base,age_years or age_group,65-74; 75-84; >=85,descriptive and adjustment,derive from age_years or harmonized age group
sex_clean,demographic,categorical,yes,01_elderly_case_base,DEMO or ml_feature_v2,M or F for main analysis,descriptive and adjustment,main analysis keeps M/F; other values go to QC
reporter_country,reporting,string,no,01_elderly_case_base,DEMO or existing case index,Reporter country if available,descriptive and adjustment,allow missing; may collapse rare countries
occr_country,reporting,string,no,01_elderly_case_base,DEMO or existing case index,Event occurrence country if available,descriptive and sensitivity,allow missing
country_group,reporting,categorical,no,01_elderly_case_base,reporter_country or occr_country,US; non-US; unknown,descriptive and adjustment,derive if country field exists
rept_cod,reporting,categorical,no,01_elderly_case_base,DEMO or ml_feature_v2,FAERS report type code,descriptive and adjustment,allow missing; report QC
e_sub,reporting,categorical,no,01_elderly_case_base,DEMO or ml_feature_v2,Electronic submission flag if available,reporting bias adjustment,allow missing; report QC
exposure_zolpidem_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zolpidem listed as primary or secondary suspect,core exposure,fill false after confirmed DRUG coverage
exposure_zolpidem_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zolpidem listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_eszopiclone_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Eszopiclone listed as primary or secondary suspect,active comparator,fill false after confirmed DRUG coverage
exposure_eszopiclone_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Eszopiclone listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_zaleplon_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zaleplon listed as primary or secondary suspect,active comparator,fill false after confirmed DRUG coverage
exposure_zaleplon_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zaleplon listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_zopiclone_ps_ss,exposure_drug,bool,no,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zopiclone listed as primary or secondary suspect,exploratory comparator,fill false after confirmed DRUG coverage
exposure_zopiclone_ps_only,exposure_drug,bool,no,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Zopiclone listed as primary suspect,exploratory PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_temazepam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Temazepam listed as primary or secondary suspect,benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_temazepam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Temazepam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_triazolam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Triazolam listed as primary or secondary suspect,benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_triazolam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Triazolam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_lorazepam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Lorazepam listed as primary or secondary suspect,broader benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_lorazepam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Lorazepam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_diazepam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Diazepam listed as primary or secondary suspect,broader benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_diazepam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Diazepam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_alprazolam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Alprazolam listed as primary or secondary suspect,broader benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_alprazolam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Alprazolam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_clonazepam_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Clonazepam listed as primary or secondary suspect,broader benzodiazepine comparator,fill false after confirmed DRUG coverage
exposure_clonazepam_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Clonazepam listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_suvorexant_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Suvorexant listed as primary or secondary suspect,orexin comparator,fill false after confirmed DRUG coverage
exposure_suvorexant_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Suvorexant listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_lemborexant_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Lemborexant listed as primary or secondary suspect,orexin comparator,fill false after confirmed DRUG coverage
exposure_lemborexant_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Lemborexant listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_daridorexant_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Daridorexant listed as primary or secondary suspect,orexin comparator,fill false after confirmed DRUG coverage
exposure_daridorexant_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Daridorexant listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_trazodone_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Trazodone listed as primary or secondary suspect,other insomnia-related comparator,fill false after confirmed DRUG coverage
exposure_trazodone_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Trazodone listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_mirtazapine_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Mirtazapine listed as primary or secondary suspect,other insomnia-related comparator,fill false after confirmed DRUG coverage
exposure_mirtazapine_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Mirtazapine listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_doxepin_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Doxepin listed as primary or secondary suspect; topical forms excluded,other insomnia-related comparator,fill false after confirmed DRUG coverage
exposure_doxepin_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Doxepin listed as primary suspect; topical forms excluded,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_ramelteon_ps_ss,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Ramelteon listed as primary or secondary suspect,other insomnia-related comparator,fill false after confirmed DRUG coverage
exposure_ramelteon_ps_only,exposure_drug,bool,yes,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Ramelteon listed as primary suspect,PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_melatonin_ps_ss,exposure_drug,bool,no,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Melatonin listed as primary or secondary suspect,exploratory only because supplement reports are noisy,fill false after confirmed DRUG coverage
exposure_melatonin_ps_only,exposure_drug,bool,no,02_drug_exposure_matrix,DRUG/drug_role plus dictionary,Melatonin listed as primary suspect,exploratory PS-only sensitivity,fill false after confirmed DRUG coverage
exposure_z_drug_ps_ss,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any Z-drug exposure as primary or secondary suspect,main group exposure,derive from individual drug variables
exposure_z_drug_ps_only,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any Z-drug exposure as primary suspect,PS-only sensitivity,derive from individual drug variables
exposure_other_z_drug_ps_ss,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any non-zolpidem Z-drug exposure as primary or secondary suspect,zolpidem versus other Z-drugs comparator,derive from eszopiclone/zaleplon/zopiclone variables
exposure_other_z_drug_ps_only,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any non-zolpidem Z-drug exposure as primary suspect,zolpidem versus other Z-drugs PS-only sensitivity,derive from eszopiclone/zaleplon/zopiclone variables
exposure_benzodiazepine_ps_ss,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any benzodiazepine exposure as primary or secondary suspect,active comparator,derive from individual drug variables
exposure_benzodiazepine_ps_only,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any benzodiazepine exposure as primary suspect,PS-only sensitivity,derive from individual drug variables
exposure_orexin_antagonist_ps_ss,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any orexin antagonist exposure as primary or secondary suspect,active comparator,derive from individual drug variables
exposure_orexin_antagonist_ps_only,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any orexin antagonist exposure as primary suspect,PS-only sensitivity,derive from individual drug variables
exposure_other_insomnia_related_ps_ss,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any trazodone/mirtazapine/doxepin/ramelteon/melatonin exposure as primary or secondary suspect,active comparator or exploratory,derive from individual drug variables
exposure_other_insomnia_related_ps_only,exposure_group,bool,yes,02_drug_exposure_matrix,individual exposure variables,Any trazodone/mirtazapine/doxepin/ramelteon/melatonin exposure as primary suspect,PS-only sensitivity,derive from individual drug variables
n_sedative_hypnotic_drugs_ps_ss,exposure_mix,int,yes,02_drug_exposure_matrix,individual exposure variables,Number of matched sedative-hypnotic drugs with PS or SS role,mixed exposure exclusion and description,derive from individual drug variables
n_sedative_hypnotic_groups_ps_ss,exposure_mix,int,yes,02_drug_exposure_matrix,group exposure variables,Number of matched sedative-hypnotic groups with PS or SS role,mixed exposure exclusion and description,derive from group variables
mixed_z_drug_ps_ss,exposure_mix,bool,yes,02_drug_exposure_matrix,individual z-drug exposures,More than one Z-drug reported as PS or SS,exclusion in clean comparator analyses,derive from individual drug variables
mixed_sedative_hypnotic_group_ps_ss,exposure_mix,bool,yes,02_drug_exposure_matrix,group exposure variables,More than one sedative-hypnotic group reported as PS or SS,exclusion in clean comparator analyses,derive from group variables
z_drug_plus_benzo_ps_ss,exposure_mix,bool,yes,02_drug_exposure_matrix,group exposure variables,Both Z-drug and benzodiazepine exposure as PS or SS,exclusion and sensitivity,derive from group variables
n_sedative_hypnotic_drugs_ps_only,exposure_mix,int,yes,02_drug_exposure_matrix,individual exposure variables,Number of matched sedative-hypnotic drugs with PS role,PS-only sensitivity,derive from individual drug variables
n_sedative_hypnotic_groups_ps_only,exposure_mix,int,yes,02_drug_exposure_matrix,group exposure variables,Number of matched sedative-hypnotic groups with PS role,PS-only sensitivity,derive from group variables
mixed_z_drug_ps_only,exposure_mix,bool,yes,02_drug_exposure_matrix,individual z-drug exposures,More than one Z-drug reported as PS,PS-only clean comparator exclusion,derive from individual drug variables
mixed_sedative_hypnotic_group_ps_only,exposure_mix,bool,yes,02_drug_exposure_matrix,group exposure variables,More than one sedative-hypnotic group reported as PS,PS-only clean comparator exclusion,derive from group variables
z_drug_plus_benzo_ps_only,exposure_mix,bool,yes,02_drug_exposure_matrix,group exposure variables,Both Z-drug and benzodiazepine exposure as PS,PS-only sensitivity,derive from group variables
strict_fall,outcome,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,FALL or DROP ATTACKS PT present,main fall endpoint,fill false only after confirmed REAC coverage
broad_fall,outcome,bool,no,03_outcome_phenotype_matrix,REAC optional broader PT list,Broader fall-related endpoint if later defined,sensitivity endpoint,do not create until definition is locked
fall_pt_count,outcome,int,no,03_outcome_phenotype_matrix,REAC,Number of fall endpoint PT records for the case,QC and sensitivity,0 after confirmed REAC coverage
fall_pt_list,outcome,string,no,03_outcome_phenotype_matrix,REAC,Semicolon-separated matched fall PTs,traceability and phenotype check,blank if no matched fall PT
pheno_sedation,phenotype,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,SOMNOLENCE or SEDATION PT present,phenotype fingerprint among strict fall reports,fill false after confirmed REAC coverage
pheno_neurocognitive,phenotype,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,CONFUSIONAL STATE; DELIRIUM; or COGNITIVE DISORDER PT present,phenotype fingerprint,fill false after confirmed REAC coverage
pheno_dizziness_syncope,phenotype,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,DIZZINESS or SYNCOPE PT present,phenotype fingerprint,fill false after confirmed REAC coverage
pheno_gait_balance,phenotype,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,GAIT DISTURBANCE; ATAXIA; or COORDINATION ABNORMAL PT present,phenotype fingerprint,fill false after confirmed REAC coverage
pheno_hypotension,phenotype,bool,yes,03_outcome_phenotype_matrix,REAC plus outcome_definitions,HYPOTENSION or ORTHOSTATIC HYPOTENSION PT present,phenotype fingerprint,fill false after confirmed REAC coverage
pheno_injury_consequence,phenotype,bool,no,03_outcome_phenotype_matrix,REAC optional injury PT map,Fracture/head injury/contusion or similar injury-consequence PT present,secondary phenotype if PT map is locked,fill false after confirmed REAC coverage
serious_any,serious_outcome,bool,yes,03_outcome_phenotype_matrix,OUTC or serious field,Any serious outcome flag,serious outcome profile and adjustment/sensitivity,derive from OUTC if possible; otherwise existing serious field
serious_death,serious_outcome,bool,no,03_outcome_phenotype_matrix,OUTC,Death outcome in OUTC,serious outcome profile,allow missing if OUTC not available
serious_hospitalization,serious_outcome,bool,no,03_outcome_phenotype_matrix,OUTC,Hospitalization outcome in OUTC,serious outcome profile,allow missing if OUTC not available
serious_disability,serious_outcome,bool,no,03_outcome_phenotype_matrix,OUTC,Disability outcome in OUTC,serious outcome profile,allow missing if OUTC not available
serious_life_threatening,serious_outcome,bool,no,03_outcome_phenotype_matrix,OUTC,Life-threatening outcome in OUTC,serious outcome profile,allow missing if OUTC not available
drug_n,covariate_medication,int,yes,04_covariate_matrix,DRUG or existing drug_feature,Number of drug rows or reported drugs depending on available old feature,adjustment for polypharmacy,allow missing only if rebuilt later
distinct_drug_n,covariate_medication,int,yes,04_covariate_matrix,DRUG or existing drug_feature,Number of distinct normalized drugs,adjustment for polypharmacy,allow missing only if rebuilt later
polypharmacy,covariate_medication,bool,yes,04_covariate_matrix,drug_n or distinct_drug_n,High medication burden flag using locked threshold,adjustment and description,derive after threshold is locked
is_antidepressant,covariate_medication,bool,no,04_covariate_matrix,DRUG or existing drug_feature,Any antidepressant co-medication,adjustment/sensitivity,fill false after confirmed source coverage
is_antipsychotic,covariate_medication,bool,no,04_covariate_matrix,DRUG or existing drug_feature,Any antipsychotic co-medication,adjustment/sensitivity,fill false after confirmed source coverage
is_opioid,covariate_medication,bool,no,04_covariate_matrix,DRUG or existing drug_feature,Any opioid co-medication,adjustment/sensitivity,fill false after confirmed source coverage
is_antiepileptic,covariate_medication,bool,no,04_covariate_matrix,DRUG or existing drug_feature,Any antiepileptic co-medication,adjustment/sensitivity,fill false after confirmed source coverage
indi_insomnia,covariate_indication,bool,yes,04_covariate_matrix,INDI or existing ml_feature_v2,Insomnia-related indication present,same-indication comparator and adjustment,fill false after confirmed INDI coverage
indi_anxiety,covariate_indication,bool,yes,04_covariate_matrix,INDI or existing ml_feature_v2,Anxiety-related indication present,adjustment,fill false after confirmed INDI coverage
indi_depression,covariate_indication,bool,yes,04_covariate_matrix,INDI or existing ml_feature_v2,Depression-related indication present,adjustment,fill false after confirmed INDI coverage
indi_pain,covariate_indication,bool,yes,04_covariate_matrix,INDI or existing ml_feature_v2,Pain-related indication present,adjustment,fill false after confirmed INDI coverage
indi_epilepsy,covariate_indication,bool,yes,04_covariate_matrix,INDI or existing ml_feature_v2,Epilepsy/seizure-related indication present,adjustment,fill false after confirmed INDI coverage
