target_key,target_label,evidence_domain,domain_type,score,available_points,status,detail
zolpidem,Zolpidem,traditional_signal_strength,core,2.0,2,supportive,fall_n=986; ROR=4.71 (4.40-5.03); IC025=1.98; OE05=4.00.
zolpidem,Zolpidem,active_comparator_consistency,core,2.0,2,supportive,directional=4/4; CI-supported=4/4; precise-reverse=0/4. zolpidem_vs_other_z_drugs: ROR=1.66 (1.46-1.87) | zolpidem_vs_benzodiazepines: ROR=1.63 (1.49-1.78) | zolpidem_vs_orexin_antagonists: ROR=6.21 (4.72-8.16) | zolpidem_vs_other_insomnia_related: ROR=1.90 (1.72-2.10)
zolpidem,Zolpidem,adjusted_model_stability,core,2.0,2,supportive,directional=4/4; CI-supported=4/4; precise-reverse=0/4. zolpidem_vs_other_z_drugs: OR=1.34 (1.16-1.55) | zolpidem_vs_benzodiazepines: OR=1.54 (1.39-1.71) | zolpidem_vs_orexin_antagonists: OR=3.11 (2.28-4.25) | zolpidem_vs_other_insomnia_related: OR=3.06 (2.67-3.50)
zolpidem,Zolpidem,exposure_definition_sensitivity,core,2.0,2,supportive,"PS-only: supportive, score=1/1; directional=3/3; CI-supported=3/3; precise-reverse=0/3. zolpidem_vs_other_z_drugs: ROR=8.19 (5.92-11.32) | zolpidem_vs_benzodiazepines: ROR=1.37 (1.22-1.54) | zolpidem_vs_orexin_antagonists: ROR=5.17 (3.89-6.88) || clean exposure: supportive, score=1/1; directional=3/3; CI-supported=3/3; precise-reverse=0/3. zolpidem_vs_other_z_drugs: ROR=1.66 (1.46-1.87) | zolpidem_vs_benzodiazepines: ROR=1.63 (1.49-1.78) | zolpidem_vs_orexin_antagonists: ROR=6.21 (4.72-8.16)"
zolpidem,Zolpidem,reporting_structure_stability,core,0.0,1,neutral,"per-comparison checks=[zolpidem_vs_benzodiazepines: groups=5, directional=100.0%; zolpidem_vs_orexin_antagonists: groups=5, directional=100.0%; zolpidem_vs_other_z_drugs: groups=5, directional=60.0%]; precise-reverse=0/15. country_group/US/zolpidem_vs_other_z_drugs: ROR=9.46 (6.48-13.80) | country_group/US/zolpidem_vs_benzodiazepines: ROR=2.35 (1.99-2.77) | country_group/US/zolpidem_vs_orexin_antagonists: ROR=7.94 (5.19-12.13) | country_group/non-US/zolpidem_vs_other_z_drugs: ROR=0.95 (0.83-1.10) | country_group/non-US/zolpidem_vs_benzodiazepines: ROR=1.47 (1.31-1.64) | country_group/non-US/zolpidem_vs_orexin_antagonists: ROR=3.37 (2.35-4.85) | rept_cod/DIR/zolpidem_vs_other_z_drugs: ROR=7.36 (1.78-30.51) | rept_cod/DIR/zolpidem_vs_benzodiazepines: ROR=2.13 (1.53-2.96) | rept_cod/DIR/zolpidem_vs_orexin_antagonists: ROR=2.46 (0.96-6.28) | rept_cod/EXP/zolpidem_vs_other_z_drugs: ROR=0.91 (0.79-1.04) | rept_cod/EXP/zolpidem_vs_benzodiazepines: ROR=1.62 (1.47-1.78) | rept_cod/EXP/zolpidem_vs_orexin_antagonists: ROR=2.91 (2.07-4.10) | rept_cod/PER/zolpidem_vs_other_z_drugs: ROR=6.39 (3.63-11.26) | rept_cod/PER/zolpidem_vs_benzodiazepines: ROR=1.93 (1.30-2.87) | rept_cod/PER/zolpidem_vs_orexin_antagonists: ROR=5.03 (2.75-9.20)"
zolpidem,Zolpidem,phenotype_coherence,modifier,0.0,0,supportive,Mechanistic co-phenotype percent=58.8; prespecified threshold=40.0%.
zolpidem,Zolpidem,external_evidence,modifier,0.0,0,supportive,Regulatory and geriatric prescribing guidance identifies fall-related or serious-injury concern for zolpidem in older adults. Source basis: FDA boxed warning (2019); AGS Beers Criteria (2023).
z_drug,Z-drugs,traditional_signal_strength,core,2.0,2,supportive,fall_n=1612; ROR=4.04 (3.83-4.25); IC025=1.80; OE05=3.52.
z_drug,Z-drugs,active_comparator_consistency,core,2.0,2,supportive,directional=2/2; CI-supported=2/2; precise-reverse=0/2. z_drugs_vs_benzodiazepines: ROR=1.30 (1.21-1.40) | z_drugs_vs_orexin_antagonists: ROR=4.96 (3.79-6.50)
z_drug,Z-drugs,adjusted_model_stability,core,2.0,2,supportive,directional=2/2; CI-supported=2/2; precise-reverse=0/2. z_drugs_vs_benzodiazepines: OR=1.34 (1.23-1.47) | z_drugs_vs_orexin_antagonists: OR=2.61 (1.94-3.51)
z_drug,Z-drugs,exposure_definition_sensitivity,core,1.0,2,contradictory,"PS-only: contradictory, score=0/1; directional=1/2; CI-supported=1/2; precise-reverse=1/2. z_drugs_vs_benzodiazepines: ROR=0.85 (0.76-0.95) | z_drugs_vs_orexin_antagonists: ROR=3.21 (2.42-4.25) || clean exposure: supportive, score=1/1; directional=2/2; CI-supported=2/2; precise-reverse=0/2. z_drugs_vs_benzodiazepines: ROR=1.31 (1.21-1.41) | z_drugs_vs_orexin_antagonists: ROR=5.00 (3.82-6.54)"
z_drug,Z-drugs,reporting_structure_stability,core,0.0,1,contradictory,"per-comparison checks=[z_drugs_vs_benzodiazepines: groups=5, directional=80.0%; z_drugs_vs_orexin_antagonists: groups=5, directional=100.0%]; precise-reverse=1/10. country_group/US/z_drugs_vs_benzodiazepines: ROR=1.19 (1.01-1.39) | country_group/US/z_drugs_vs_orexin_antagonists: ROR=4.02 (2.64-6.12) | country_group/non-US/z_drugs_vs_benzodiazepines: ROR=1.48 (1.35-1.62) | country_group/non-US/z_drugs_vs_orexin_antagonists: ROR=3.41 (2.38-4.87) | rept_cod/DIR/z_drugs_vs_benzodiazepines: ROR=1.84 (1.33-2.56) | rept_cod/DIR/z_drugs_vs_orexin_antagonists: ROR=2.13 (0.84-5.43) | rept_cod/EXP/z_drugs_vs_benzodiazepines: ROR=1.66 (1.53-1.80) | rept_cod/EXP/z_drugs_vs_orexin_antagonists: ROR=3.00 (2.14-4.21) | rept_cod/PER/z_drugs_vs_benzodiazepines: ROR=0.71 (0.50-1.00) | rept_cod/PER/z_drugs_vs_orexin_antagonists: ROR=1.84 (1.04-3.26)"
z_drug,Z-drugs,phenotype_coherence,modifier,,0,not_available,No direct phenotype group was prespecified for this target.
z_drug,Z-drugs,external_evidence,modifier,0.0,0,supportive,Regulatory and geriatric prescribing guidance identifies fall-related or serious-injury concern for prescription Z-drugs in older adults. Source basis: FDA boxed warning (2019); AGS Beers Criteria (2023).
other_z_drug,Other Z-drugs,traditional_signal_strength,core,2.0,2,supportive,fall_n=638; ROR=3.22 (2.97-3.49); IC025=1.48; OE05=2.82.
other_z_drug,Other Z-drugs,active_comparator_consistency,core,,0,not_available,No comparison was prespecified for this target.
other_z_drug,Other Z-drugs,adjusted_model_stability,core,,0,not_available,No comparison was prespecified for this target.
other_z_drug,Other Z-drugs,exposure_definition_sensitivity,core,,0,not_available,Neither PS-only nor clean-exposure analysis was available.
other_z_drug,Other Z-drugs,reporting_structure_stability,core,,0,not_available,No stratified comparison was prespecified for this target.
other_z_drug,Other Z-drugs,phenotype_coherence,modifier,0.0,0,neutral,Mechanistic co-phenotype percent=39.3; prespecified threshold=40.0%.
other_z_drug,Other Z-drugs,external_evidence,modifier,0.0,0,supportive,Regulatory and geriatric prescribing guidance includes eszopiclone and zaleplon among Z-drugs of concern. Source basis: FDA boxed warning (2019); AGS Beers Criteria (2023).
benzodiazepine,Benzodiazepines,traditional_signal_strength,core,2.0,2,supportive,fall_n=2576; ROR=3.18 (3.05-3.31); IC025=1.50; OE05=2.85.
benzodiazepine,Benzodiazepines,active_comparator_consistency,core,2.0,2,supportive,directional=1/1; CI-supported=1/1; precise-reverse=0/1. benzodiazepines_vs_orexin_antagonists: ROR=3.81 (2.92-4.98)
benzodiazepine,Benzodiazepines,adjusted_model_stability,core,2.0,2,supportive,directional=1/1; CI-supported=1/1; precise-reverse=0/1. benzodiazepines_vs_orexin_antagonists: OR=2.65 (1.96-3.58)
benzodiazepine,Benzodiazepines,exposure_definition_sensitivity,core,,0,not_available,Neither PS-only nor clean-exposure analysis was available.
benzodiazepine,Benzodiazepines,reporting_structure_stability,core,,0,not_available,No stratified comparison was prespecified for this target.
benzodiazepine,Benzodiazepines,phenotype_coherence,modifier,0.0,0,supportive,Mechanistic co-phenotype percent=55.1; prespecified threshold=40.0%.
benzodiazepine,Benzodiazepines,external_evidence,modifier,0.0,0,supportive,Geriatric prescribing guidance identifies fall and fracture concern for benzodiazepines in older adults. Source basis: AGS Beers Criteria (2023).
orexin_antagonist,Orexin receptor antagonists,traditional_signal_strength,core,0.0,2,contradictory,fall_n=64; ROR=0.77 (0.60-0.99); IC025=-0.72; OE05=0.63.
orexin_antagonist,Orexin receptor antagonists,active_comparator_consistency,core,,0,not_available,No comparison was prespecified for this target.
orexin_antagonist,Orexin receptor antagonists,adjusted_model_stability,core,,0,not_available,No comparison was prespecified for this target.
