drug_key,drug_group,drug_group_cn,generic_name,generic_name_cn,analysis_role,main_analysis_candidate,brand_names,salt_or_form,active_ingredient_for_matching,dosage_forms_to_expect,manual_review_status,source_note
zolpidem,z_drug,Z-drugs / 非苯二氮䓬类催眠药,zolpidem,唑吡坦,core_case_study,yes,"Ambien; Ambien CR; Edluar; Intermezzo; Zolpimist",zolpidem tartrate,zolpidem tartrate,"oral tablet; extended-release oral tablet; sublingual tablet; oral spray; oral capsule",reviewed,"DailyMed/FDA labels and RxNorm checked; include brand and generic names"
eszopiclone,z_drug,Z-drugs / 非苯二氮䓬类催眠药,eszopiclone,右佐匹克隆,primary_comparator,yes,Lunesta,no salt specified in US labels,eszopiclone,oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
zaleplon,z_drug,Z-drugs / 非苯二氮䓬类催眠药,zaleplon,扎来普隆,primary_comparator,yes,Sonata,no salt specified in US labels,zaleplon,oral capsule,reviewed,"DailyMed/FDA label and RxNorm checked"
zopiclone,z_drug,Z-drugs / 非苯二氮䓬类催眠药,zopiclone,佐匹克隆,exploratory,count_dependent,Imovane,no salt specified,zopiclone,oral tablet,reviewed,"Not a common US FDA product; Health Canada DPD/NOC and RxNorm checked"
temazepam,benzodiazepine,苯二氮䓬类,temazepam,替马西泮,primary_comparator,yes,Restoril,no salt specified in US labels,temazepam,oral capsule,reviewed,"DailyMed/FDA label and RxNorm checked"
triazolam,benzodiazepine,苯二氮䓬类,triazolam,三唑仑,primary_comparator,yes,Halcion,no salt specified in US labels,triazolam,oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
lorazepam,benzodiazepine,苯二氮䓬类,lorazepam,劳拉西泮,secondary_comparator,yes,"Ativan; Loreev XR",no salt specified in US labels,lorazepam,"oral tablet; oral concentrate/solution; injection; extended-release oral capsule",reviewed,"DailyMed/FDA label and RxNorm checked; broader sedative/anxiolytic comparator"
diazepam,benzodiazepine,苯二氮䓬类,diazepam,地西泮,secondary_comparator,yes,"Valium; Diastat; Valtoco; Libervant; Diazepam Intensol",no salt specified in US labels,diazepam,"oral tablet; oral solution; rectal gel/suppository; nasal spray; injection; buccal film",reviewed,"DailyMed/FDA labels and RxNorm checked; indication confounding must be handled later"
alprazolam,benzodiazepine,苯二氮䓬类,alprazolam,阿普唑仑,secondary_comparator,yes,"Xanax; Xanax XR; Niravam",no salt specified in US labels,alprazolam,"oral tablet; extended-release oral tablet; orally disintegrating tablet; oral solution",reviewed,"DailyMed/FDA label and RxNorm checked"
clonazepam,benzodiazepine,苯二氮䓬类,clonazepam,氯硝西泮,secondary_comparator,yes,Klonopin,no salt specified in US labels,clonazepam,"oral tablet; orally disintegrating tablet",reviewed,"DailyMed/FDA label and RxNorm checked"
suvorexant,orexin_antagonist,食欲素受体拮抗剂,suvorexant,苏沃雷生,primary_comparator,yes,Belsomra,no salt specified in US labels,suvorexant,film-coated oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
lemborexant,orexin_antagonist,食欲素受体拮抗剂,lemborexant,仑博雷生,primary_comparator,yes,Dayvigo,no salt specified in US labels,lemborexant,film-coated oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
daridorexant,orexin_antagonist,食欲素受体拮抗剂,daridorexant,达利雷生,primary_comparator,yes,Quviviq,daridorexant hydrochloride,daridorexant hydrochloride,film-coated oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
trazodone,other_insomnia_related,其他失眠相关药,trazodone,曲唑酮,secondary_comparator,yes,"Desyrel; Desyrel Dividose; Oleptro; Raldesy",trazodone hydrochloride,trazodone hydrochloride,"oral tablet; extended-release oral tablet; oral capsule; oral solution",reviewed,"DailyMed/FDA label and RxNorm checked; mostly off-label insomnia use"
mirtazapine,other_insomnia_related,其他失眠相关药,mirtazapine,米氮平,secondary_comparator,yes,"Remeron; RemeronSolTab",no salt specified in US labels,mirtazapine,"oral tablet; orally disintegrating tablet",reviewed,"DailyMed/FDA label and RxNorm checked; sedating antidepressant comparator"
doxepin,other_insomnia_related,其他失眠相关药,doxepin,多塞平,secondary_comparator,yes,"Silenor; Sinequan",doxepin hydrochloride,doxepin hydrochloride,"low-dose oral tablet for insomnia; oral capsule/solution for antidepressant use",reviewed,"DailyMed/FDA label and RxNorm checked; topical forms should be excluded"
ramelteon,other_insomnia_related,其他失眠相关药,ramelteon,雷美替胺,secondary_comparator,yes,Rozerem,no salt specified in US labels,ramelteon,film-coated oral tablet,reviewed,"DailyMed/FDA label and RxNorm checked"
melatonin,other_insomnia_related,其他失眠相关药,melatonin,褪黑素,exploratory,no,,no salt specified,melatonin,"tablet; capsule; chewable/disintegrating tablet; liquid; combination supplement products",reviewed,"RxNorm and DailyMed supplement labels checked; supplement reports are noisy, keep exploratory"
